iter	Passed	Remaining
405	6041	8839
406	6054	8821
407	6066	8802
408	6079	8784
409	6091	8765
410	6102	8746
411	6114	8726
412	6126	8708
413	6138	8688
414	6150	8669
415	6162	8650
416	6173	8630
417	6185	8612
418	6197	8593
419	6208	8574
420	6220	8555
421	6232	8536
422	6244	8518
423	6255	8498
424	6266	8478
425	6279	8461
426	6292	8443
427	6303	8423
428	6314	8404
429	6327	8386
430	6338	8368
431	6349	8348
432	6360	8328
433	6372	8310
434	6384	8291
435	6395	8273
436	6407	8254
437	6419	8237
438	6433	8220
439	6444	8202
440	6455	8182
441	6466	8164
442	6484	8152
443	6495	8134
444	6507	8116
445	6518	8097
446	6530	8078
447	6541	8060
448	6552	8041
449	6564	8023
450	6577	8006
451	6588	7988
452	6600	7970
453	6611	7951
454	6623	7934
455	6640	7922
456	6653	7905
457	6666	7888
458	6677	7870
459	6690	7853
460	6702	7836
461	6713	7817
462	6725	7800
463	6736	7782
464	6748	7764
465	6760	7747
466	6773	7730
467	6785	7713
468	6797	7696
469	6810	7679
470	6823	7663
471	6835	7646
472	6847	7628
473	6859	7611
474	6870	7593
475	6882	7576
476	6894	7559
477	6906	7542
478	6919	7525
479	6932	7510
480	6943	7491
481	6955	7474
482	6966	7457
483	6978	7440
484	6989	7422
485	7001	7404
486	7012	7387
487	7025	7370
488	7036	7352
489	7047	7335
490	7059	7318
491	7072	7302
492	7083	7285
493	7095	7267
494	7107	7250
495	7119	7234
496	7132	7218
497	7143	7200
498	7154	7183
499	7165	7165
500	7178	7149
501	7191	7134
502	7203	7117
503	7215	7100
504	7226	7083
505	7238	7066
506	7249	7049
507	7261	7032
508	7273	7016
509	7285	6999
510	7297	6983
511	7309	6966
512	7320	6949
513	7334	6934
514	7346	6918
515	7358	6902
516	7370	6885
517	7382	6869
518	7394	6852
519	7407	6837
520	7420	6822
521	7433	6806
522	7444	6789
523	7456	6773
524	7467	6756
525	7478	6739
526	7490	6722
527	7501	6706
528	7513	6689
529	7525	6673
530	7536	6656
531	7549	6640
532	7561	6624
533	7572	6608
534	7584	6592
535	7596	6576
536	7608	6559
537	7619	6543
538	7630	6526
539	7642	6509
540	7656	6495
541	7669	6481
542	7682	6465
543	7694	6449
544	7708	6435
545	7720	6419
546	7731	6403
547	7743	6386
548	7754	6370
549	7766	6354
550	7776	6337
551	7788	6320
552	7801	6305
553	7812	6289
554	7823	6272
555	7835	6257
556	7846	6240
557	7859	6225
558	7870	6208
559	7882	6193
560	7894	6177
561	7906	6161
562	7918	6146
563	7930	6130
564	7942	6114
565	7954	6099
566	7967	6084
567	7979	6068
568	7990	6052
569	8003	6037
570	8015	6021
571	8026	6006
572	8038	5990
573	8050	5974
574	8062	5959
575	8074	5943
576	8086	5927
577	8097	5912
578	8112	5898
579	8124	5883
580	8136	5867
581	8148	5852
582	8160	5836
583	8171	5821
584	8183	5805
585	8195	5790
586	8207	5774
587	8220	5759
588	8232	5744
589	8245	5729
590	8258	5715
591	8270	5699
592	8281	5684
593	8293	5668
594	8305	5653
595	8317	5638
596	8329	5622
597	8342	5608
598	8354	5593
599	8367	5578
600	8379	5562
601	8391	5547
602	8402	5532
603	8414	5516
604	8425	5501
605	8437	5485
606	8449	5470
607	8461	5455
608	8473	5440
609	8485	5425
610	8496	5409
611	8508	5393
612	8519	5378
613	8531	5363
614	8543	5348
615	8555	5333
616	8567	5318
617	8578	5302
618	8590	5287
619	8602	5272
620	8612	5256
621	8624	5241
622	8636	5225
623	8647	5210
624	8658	5195
625	8670	5180
626	8682	5165
627	8694	5150
628	8707	5136
629	8719	5121
630	8731	5106
631	8743	5091
632	8755	5076
633	8766	5061
634	8779	5046
635	8792	5031
636	8804	5017
637	8815	5001
638	8827	4986
639	8839	4971
640	8850	4956
641	8861	4941
642	8873	4926
643	8885	4911
644	8896	4896
645	8908	4881
646	8920	4867
647	8931	4851
648	8944	4837
649	8955	4822
650	8968	4807
651	8980	4793
652	8993	4779
653	9005	4764
654	9017	4749
655	9030	4735
656	9046	4723
657	9059	4708
658	9071	4693
659	9083	4679
660	9095	4664
661	9108	4650
662	9120	4635
663	9132	4621
664	9145	4606
665	9156	4591
666	9168	4577
667	9179	4562
668	9191	4547
669	9204	4533
670	9216	4518
671	9227	4503
672	9239	4489
673	9250	4474
674	9262	4459
675	9274	4445
676	9288	4431
677	9298	4416
678	9310	4401
679	9323	4387
680	9334	4372
681	9347	4358
682	9358	4343
683	9370	4328
684	9381	4313
685	9393	4299
686	9404	4284
687	9417	4270
688	9429	4256
689	9440	4241
690	9452	4226
691	9464	4212
692	9476	4198
693	9488	4183
694	9500	4169
695	9512	4154
696	9526	4141
697	9538	4126
698	9549	4112
699	9561	4097
700	9574	4083
701	9586	4069
702	9598	4054
703	9610	4040
704	9621	4026
705	9634	4011
706	9644	3997
707	9658	3983
708	9672	3969
709	9684	3955
710	9696	3941
711	9708	3927
712	9722	3913
713	9733	3898
714	9747	3885
715	9761	3872
716	9777	3859
717	9792	3845
718	9803	3831
719	9814	3816
720	9825	3802
721	9837	3787
722	9849	3773
723	9861	3759
724	9873	3745
725	9884	3730
726	9897	3716
727	9908	3702
728	9920	3687
729	9931	3673
730	9944	3659
731	9955	3645
732	9967	3630
733	9979	3616
734	9991	3602
735	10003	3588
736	10015	3574
737	10026	3559
738	10037	3545
739	10049	3530
740	10060	3516
741	10072	3502
742	10084	3488
743	10096	3474
744	10108	3459
745	10120	3445
746	10131	3431
747	10144	3417
748	10155	3403
749	10167	3389
750	10179	3375
751	10192	3361
752	10203	3347
753	10216	3333
754	10228	3319
755	10239	3304
756	10252	3291
757	10264	3277
758	10278	3263
759	10290	3249
760	10302	3235
761	10314	3221
762	10326	3207
763	10337	3193
764	10347	3178
765	10358	3164
766	10370	3150
767	10382	3136
768	10392	3121
769	10404	3107
770	10416	3093
771	10428	3079
772	10440	3065
773	10452	3052
774	10464	3038
775	10476	3024
776	10487	3009
777	10500	2996
778	10511	2982
779	10523	2968
780	10535	2954
781	10547	2940
782	10558	2926
783	10570	2912
784	10581	2898
785	10592	2884
786	10605	2870
787	10615	2855
788	10627	2842
789	10640	2828
790	10652	2814
791	10664	2800
792	10677	2787
793	10688	2773
794	10700	2759
795	10712	2745
796	10724	2731
797	10735	2717
798	10747	2703
799	10759	2689
800	10770	2675
801	10781	2661
802	10793	2647
803	10804	2633
804	10816	2620
805	10832	2607
806	10847	2594
807	10862	2581
808	10876	2567
809	10907	2558
810	10923	2545
811	10943	2533
812	10960	2521
813	10971	2507
814	10982	2492
815	10993	2478
816	11004	2464
817	11017	2451
818	11028	2437
819	11042	2423
820	11053	2409
821	11065	2396
822	11077	2382
823	11088	2368
824	11099	2354
825	11110	2340
826	11122	2326
827	11133	2312
828	11144	2298
829	11155	2284
830	11167	2271
831	11179	2257
832	11191	2243
833	11203	2230
834	11214	2216
835	11225	2202
836	11237	2188
837	11250	2174
838	11262	2161
839	11273	2147
840	11284	2133
841	11295	2119
842	11307	2105
843	11319	2092
844	11330	2078
845	11342	2064
846	11354	2051
847	11368	2037
848	11380	2024
849	11391	2010
850	11403	1996
851	11414	1982
852	11426	1969
853	11437	1955
854	11449	1941
855	11460	1927
856	11470	1913
857	11482	1900
858	11494	1886
859	11506	1873
860	11518	1859
861	11529	1845
862	11547	1833
863	11559	1819
864	11571	1805
865	11582	1792
866	11594	1778
867	11606	1765
868	11617	1751
869	11629	1737
870	11641	1724
871	11654	1710
872	11665	1697
873	11677	1683
874	11691	1670
875	11703	1656
876	11714	1642
877	11727	1629
878	11738	1615
879	11749	1602
880	11763	1588
881	11776	1575
882	11787	1561
883	11799	1548
884	11810	1534
885	11821	1521
886	11833	1507
887	11845	1494
888	11857	1480
889	11867	1466
890	11879	1453
891	11890	1439
892	11902	1426
893	11912	1412
894	11923	1398
895	11935	1385
896	11946	1371
897	11957	1358
898	11968	1344
899	11980	1331
900	11991	1317
901	12004	1304
902	12015	1290
903	12029	1277
904	12040	1263
905	12053	1250
906	12065	1237
907	12077	1223
908	12093	1210
909	12107	1197
910	12120	1184
911	12131	1170
912	12143	1157
913	12156	1143
914	12170	1130
915	12183	1117
916	12195	1103
917	12206	1090
918	12219	1076
919	12232	1063
920	12243	1050
921	12255	1036
922	12268	1023
923	12279	1010
924	12292	996
925	12305	983
926	12316	969
927	12329	956
928	12341	943
929	12353	929
930	12366	916
931	12378	903
932	12390	889
933	12401	876
934	12416	863
935	12429	849
936	12442	836
937	12454	823
938	12465	809
939	12476	796
940	12488	783
941	12500	769
942	12512	756
943	12523	742
944	12536	729
945	12548	716
946	12560	702
947	12571	689
948	12582	676
949	12594	662
950	12607	649
951	12620	636
952	12630	622
953	12642	609
954	12655	596
955	12666	582
956	12678	569
957	12691	556
958	12702	543
959	12714	529
960	12726	516
961	12738	503
962	12751	489
963	12763	476
964	12775	463
965	12786	450
966	12798	436
967	12811	423
968	12823	410
969	12833	396
970	12845	383
971	12857	370
972	12870	357
973	12882	343
974	12894	330
975	12905	317
976	12917	304
977	12929	290
978	12941	277
979	12954	264
980	12965	251
981	12978	237
982	12988	224
983	13001	211
984	13013	198
985	13024	184
986	13036	171
987	13047	158
988	13060	145
989	13072	132
990	13083	118
991	13095	105
992	13107	92
993	13119	79
994	13131	65
995	13139	52
996	13150	39
997	13164	26
998	13178	13
999	13187	0
6	0
