iter	Logloss
149	0.1477061805
150	0.1476502598
151	0.147548136
152	0.1474737432
153	0.1473993662
154	0.1473299826
155	0.1472657915
156	0.1472093105
157	0.1471823947
158	0.1470933771
159	0.1470229705
160	0.1469516059
161	0.1468284337
162	0.1466809817
163	0.1466005107
164	0.1465027731
165	0.1464340145
166	0.1463727629
167	0.146213112
168	0.1461466148
169	0.1460848172
170	0.1460203362
171	0.145933849
172	0.1458511453
173	0.145764416
174	0.1457024683
175	0.1456316737
176	0.1455795762
177	0.1454896641
178	0.1454186435
179	0.1453140559
180	0.145208578
181	0.1451214132
182	0.145061545
183	0.1449770261
184	0.1448780562
185	0.1447892878
186	0.1446727889
187	0.1446040437
188	0.1445248946
189	0.1444446354
190	0.1443803581
191	0.1442897678
192	0.1442134663
193	0.1441228416
194	0.1440461891
195	0.1439217148
196	0.1438143647
197	0.1437526524
198	0.1437091352
199	0.1436609524
200	0.1435806762
201	0.1435084353
202	0.1434624627
203	0.1433885881
204	0.143316054
205	0.1432622096
206	0.1432057726
207	0.1431239863
208	0.1430728606
209	0.1430029218
210	0.1429531678
211	0.142901646
212	0.1428362489
213	0.1427321424
214	0.1426664655
215	0.1426228197
216	0.1425338221
217	0.1424070389
218	0.1423394633
219	0.1421889886
220	0.1421131755
221	0.1420361931
222	0.1419759268
223	0.141867949
224	0.1417426272
225	0.1416534298
226	0.1415452854
227	0.1414775973
228	0.1414157784
229	0.1413550124
230	0.1412990291
231	0.1412224712
232	0.1411900965
233	0.1411220631
234	0.1410644444
235	0.1409933312
236	0.1408618318
237	0.1408023384
238	0.1407071379
239	0.1406274469
240	0.1405522944
241	0.1405041082
242	0.1404454788
243	0.1402789437
244	0.1402138394
245	0.1401783917
246	0.1401100473
247	0.1400398316
248	0.1399710812
249	0.1397807584
250	0.1397102776
251	0.1396250973
252	0.1395392741
253	0.1394448966
254	0.1393554835
255	0.1392921522
256	0.1392211623
257	0.1391802864
258	0.1390819671
259	0.1390186592
260	0.1389672725
261	0.138914183
262	0.1388671531
263	0.1387977003
264	0.1387546387
265	0.1386779589
266	0.1385670006
267	0.138493975
268	0.1384151886
269	0.1383807503
270	0.1382992373
271	0.1381188792
272	0.1380487471
273	0.1379835346
274	0.1379407728
275	0.1378725022
276	0.1377988945
277	0.1377370932
278	0.1376633542
279	0.1375615711
280	0.1375007845
281	0.1374285214
282	0.1373435224
283	0.1372889062
284	0.1372315725
285	0.1371561317
286	0.1371038065
287	0.1370351461
288	0.1369508539
289	0.1368569999
290	0.136793722
291	0.1366754189
292	0.1366002841
293	0.1365179423
294	0.1364510214
295	0.1363845052
296	0.1363329484
297	0.136247533
298	0.1361870672
299	0.1361072376
300	0.1360447447
301	0.1359733918
302	0.1358921495
303	0.1358318509
304	0.1357840193
305	0.1356939532
306	0.1356367699
307	0.1355676525
308	0.1354926292
309	0.1354291274
310	0.1353527281
311	0.1352953972
312	0.1352128776
313	0.1351472397
314	0.135083519
315	0.1349821328
316	0.1349109461
317	0.134852439
318	0.1347666861
319	0.134707753
320	0.1346490608
321	0.1346044703
322	0.1344935468
323	0.1344182168
324	0.1343599269
325	0.1343041859
326	0.1342492944
327	0.1341800489
328	0.1340931502
329	0.1340362077
330	0.1339722574
331	0.1339028352
332	0.1338457172
333	0.1337890567
334	0.1337262655
335	0.1336592109
336	0.1336000872
337	0.1335327
338	0.1334282612
339	0.1333838404
340	0.1333074691
341	0.1332307882
342	0.1331549488
343	0.1330762648
344	0.1330161105
345	0.1329235884
346	0.1328555237
347	0.1327298781
348	0.132659142
349	0.1326034792
350	0.1325349637
351	0.1324633738
352	0.1324201945
353	0.1323578373
354	0.132304123
355	0.1322367247
356	0.1321311572
357	0.1320788745
358	0.1320180127
359	0.1319476495
360	0.1318892137
361	0.1318541338
362	0.1317979824
363	0.1316712388
364	0.1316263608
365	0.1315721109
366	0.1315330649
367	0.1314881852
368	0.1314163457
369	0.1313416697
370	0.1312763024
371	0.1312389024
372	0.1311642802
373	0.1311227855
374	0.1310483814
375	0.1309577327
376	0.1309101757
377	0.1308435887
378	0.1307979901
379	0.1307623392
380	0.1307051867
381	0.1306420051
382	0.1305694019
383	0.1304909108
384	0.1304275388
385	0.1303673095
386	0.1303112234
387	0.1302396908
388	0.1301268086
389	0.1300533987
390	0.1300024915
391	0.1299459011
392	0.1298861339
393	0.1298212384
394	0.129757625
395	0.129706247
396	0.1296665599
397	0.1295989093
398	0.1295428907
399	0.1294944803
400	0.1294362024
401	0.1293951431
402	0.1293472745
403	0.1292981194
404	0.1292625422
405	0.1291769629
406	0.1291211167
407	0.1290468799
408	0.1289650932
409	0.1288924541
410	0.1288242973
411	0.1287362399
412	0.1286776555
413	0.1286263754
414	0.1285837529
415	0.1285187775
416	0.1284679637
417	0.1284160537
418	0.1283522861
419	0.1283013946
420	0.1282591462
421	0.1281973618
422	0.1281408304
423	0.1280804218
424	0.1280373661
425	0.1279762826
426	0.1279254935
427	0.127828825
428	0.1277788671
429	0.1277052108
430	0.1276478723
431	0.1275871112
432	0.1275475248
433	0.1274734523
434	0.1274325197
435	0.1273975467
436	0.1273328851
437	0.1272930564
438	0.1272492272
439	0.1271853044
440	0.1271298951
441	0.1270793507
442	0.1270169482
443	0.1269727678
444	0.126937581
445	0.1268923735
446	0.1268312241
447	0.1267759705
448	0.1267280748
449	0.1266750882
450	0.1266000286
451	0.1265291023
452	0.1264770471
453	0.1264126925
454	0.1263677221
455	0.1263196552
456	0.1262753847
457	0.1261979442
458	0.1261655391
459	0.1260958122
460	0.1260514047
461	0.1259949105
462	0.1259451211
463	0.1258911
464	0.1258232214
465	0.1257766124
466	0.1257336879
467	0.1256841354
468	0.1256330714
469	0.1255724885
470	0.1255305456
471	0.1254799432
472	0.1254005635
473	0.1253536443
474	0.1253126353
475	0.1252512126
476	0.1252090294
477	0.1251523399
478	0.1250728364
479	0.1250228569
480	0.1249572271
481	0.1249198157
482	0.1248629244
483	0.1247992751
484	0.1247404127
485	0.1247135647
486	0.1246567995
487	0.1246120815
488	0.1245056237
489	0.1244622886
490	0.1244170177
491	0.1243856988
492	0.124347695
493	0.1242958754
494	0.1242508185
495	0.1241985097
496	0.1241423619
497	0.1240997349
498	0.1240559071
499	0.1240109955
500	0.1239540331
501	0.123907325
502	0.1238500982
503	0.1237860151
504	0.1237359024
505	0.1236519299
506	0.1235469259
507	0.1234815776
508	0.1234236262
509	0.1233656066
510	0.1233200461
511	0.1232725701
512	0.1232283018
513	0.1231785586
514	0.1231310222
515	0.1230647028
516	0.1230080912
517	0.1229645822
518	0.1228937841
519	0.1228434221
520	0.1228020745
521	0.1227452006
522	0.1227075316
523	0.1226645773
524	0.1226067825
525	0.1225538937
526	0.1225179434
527	0.1224637007
528	0.1224162962
529	0.1223793484
530	0.1223378241
531	0.1222945845
532	0.1222318696
533	0.1221117543
534	0.122050412
535	0.1220040258
536	0.1219508262
537	0.1218698159
538	0.1218350255
539	0.1217831422
540	0.1217364038
541	0.1216831952
542	0.1216203302
543	0.1215701975
544	0.1215182275
545	0.1214761428
546	0.1214315092
547	0.1213940997
548	0.121363233
549	0.1213130184
550	0.1212645261
551	0.1212104783
552	0.1211502526
553	0.1210899044
554	0.1210514256
555	0.1210190407
556	0.1209816477
557	0.1209416352
558	0.1209081546
559	0.1208685485
560	0.1208191007
561	0.1207526327
562	0.1207200094
563	0.1206728146
564	0.1206185031
565	0.1205650987
566	0.1205340013
567	0.1204736499
568	0.1203835367
569	0.120346352
570	0.1203039708
571	0.1202728094
572	0.1202286201
573	0.1201768363
574	0.1201368382
575	0.1200966632
576	0.1200249085
577	0.119980314
578	0.1199373258
579	0.1198818991
580	0.1198473011
581	0.119797895
582	0.1197426255
583	0.1196813446
584	0.119645499
585	0.1196111448
586	0.1195723174
587	0.1195188328
588	0.1194617314
589	0.1194143265
590	0.1193676965
591	0.1193149157
592	0.1192545723
593	0.1192160139
594	0.1191683485
595	0.1191204187
596	0.1190740298
597	0.1190282993
598	0.1189739566
599	0.1189406757
600	0.1188936443
601	0.1188490484
602	0.1187873692
603	0.1187470296
604	0.1187135972
605	0.1186812613
606	0.1186309985
607	0.118591733
608	0.1185509348
609	0.118516703
610	0.1184732005
611	0.1184172041
612	0.1183692568
613	0.118328286
614	0.1182830507
615	0.118244987
616	0.1181701114
617	0.1181406167
618	0.118100718
619	0.1180560405
620	0.1180003281
621	0.1179498569
622	0.1179146914
623	0.1178776313
624	0.1178382926
625	0.1178030429
626	0.1177513453
627	0.1177038207
628	0.1176279064
629	0.1175914199
630	0.1175432464
631	0.1175142034
632	0.1174739289
633	0.1174322369
634	0.1173877714
635	0.1173513525
636	0.1172968379
637	0.1172642525
638	0.1172251496
639	0.1171798477
640	0.1171384058
641	0.117091322
642	0.1170294515
643	0.1169775906
644	0.1169379705
645	0.1168874161
646	0.1168433733
647	0.1167825804
648	0.1167453063
649	0.1166932869
650	0.11665562
651	0.1166281339
652	0.116593007
653	0.116527636
654	0.1164781079
655	0.1164305668
656	0.1163841931
657	0.1163423409
658	0.116322049
659	0.1162824459
660	0.1162305426
661	0.1161770594
662	0.1161213862
663	0.1160608832
664	0.1160141182
665	0.1159714277
666	0.1158843519
667	0.1158460539
668	0.1158065642
669	0.1157671159
670	0.1157199397
671	0.1156609813
672	0.1156037812
673	0.1155555212
674	0.1154966577
675	0.1154469682
676	0.1153985947
677	0.1153525575
678	0.1153011893
679	0.1152487545
680	0.115204392
681	0.1151460871
682	0.1150894684
683	0.115053134
684	0.1150011087
685	0.1149598283
686	0.1149352121
687	0.1149009222
688	0.1148511497
689	0.1148060217
690	0.1147563755
691	0.1147077185
692	0.1146686448
693	0.1146385399
694	0.1145925261
695	0.1145617024
696	0.1145226968
697	0.1144700714
698	0.1144193358
699	0.1143857132
700	0.1143490671
701	0.1143075831
702	0.1142606424
703	0.1142195337
704	0.1141732363
705	0.1141413259
706	0.1140953126
707	0.1140208576
708	0.1139690768
709	0.1139312975
710	0.1138935486
711	0.1138556674
712	0.1138280484
713	0.1137836089
714	0.113744957
715	0.1136953825
716	0.1136524519
717	0.1136117419
718	0.113570617
719	0.1135362283
720	0.1134868325
721	0.1134269362
722	0.1133665087
723	0.1133264858
724	0.1132722854
725	0.1132310121
726	0.1131847612
727	0.1131642227
728	0.1131335592
729	0.113082977
730	0.1130344455
731	0.1129961613
732	0.1129413791
733	0.1129021448
734	0.1128528357
735	0.1128243642
736	0.1127681779
737	0.1127276403
738	0.1126803021
739	0.1126438613
740	0.1125898316
741	0.11255429
742	0.112523752
743	0.1124878189
744	0.1124388557
745	0.1123955118
746	0.1123604095
747	0.1123332627
748	0.1122864153
749	0.112215721
750	0.1121661066
751	0.1121171903
752	0.1120613463
753	0.1120352009
754	0.1119905819
755	0.1119389869
756	0.1119004931
757	0.1118728865
758	0.1118227168
759	0.1117938626
760	0.1117568261
761	0.1117147723
762	0.1116584849
763	0.1116180697
764	0.1115724956
765	0.1115432729
766	0.1115178264
767	0.1114692825
768	0.111411421
769	0.1113825671
770	0.1113280521
771	0.1112851754
772	0.1112225267
773	0.111187041
774	0.1111277545
775	0.1110873671
776	0.1110524864
777	0.1110140542
778	0.1109916751
779	0.1109389969
780	0.1108917646
781	0.1108477836
782	0.1108195229
783	0.1107822498
784	0.1107364059
785	0.110685527
786	0.1106369187
787	0.1106074021
788	0.1105803279
789	0.1105343051
790	0.1104880282
791	0.1104319574
792	0.1103918674
793	0.110348588
794	0.1103123733
795	0.1102752501
796	0.1102301209
797	0.1101978938
798	0.1101611698
799	0.1100959
800	0.1100627477
801	0.1100242353
802	0.1099822685
803	0.1099504855
804	0.1099049234
805	0.1098724456
806	0.1098301705
807	0.1097834725
808	0.1097528726
809	0.1097184638
810	0.1096570569
811	0.1096252452
812	0.1095913477
813	0.1095543667
814	0.1095174913
815	0.1094808092
816	0.1094390089
817	0.1093958688
818	0.1093652522
819	0.109337149
820	0.1093089424
821	0.1092777782
822	0.1092302835
823	0.1092047507
824	0.1091379647
825	0.1091101549
826	0.1090615329
827	0.109029314
828	0.1089882751
829	0.108942177
830	0.1088941044
831	0.1088403607
832	0.1087918102
833	0.1087603399
834	0.1087263283
835	0.1086761861
836	0.1086207036
837	0.1085723762
838	0.108523282
839	0.1084874749
840	0.1084507559
841	0.1084231874
842	0.1083955077
843	0.1083573524
844	0.1083171875
845	0.1082842154
846	0.1082255556
847	0.1081835997
848	0.1081527429
849	0.1081182881
850	0.1080721445
851	0.1080329231
852	0.1080017965
853	0.1079747122
854	0.1079443878
855	0.1079090062
856	0.1078703632
857	0.1078239818
858	0.1077891065
859	0.1077376136
860	0.1077058509
861	0.1076470477
862	0.1075978363
863	0.1075414586
864	0.1075037891
865	0.1074730167
866	0.1074328048
867	0.1073979953
868	0.1073522445
869	0.1073238496
870	0.1072893939
871	0.107243801
872	0.1072102939
873	0.1071661156
874	0.1071262018
875	0.1070786955
876	0.1070323866
877	0.1070053013
878	0.1069769378
879	0.1069261528
880	0.1068796636
881	0.1068367884
882	0.1068109094
883	0.1067726079
884	0.1067484313
885	0.1067085738
886	0.1066651729
887	0.1066370902
888	0.1066016444
889	0.1065664723
890	0.1065363703
891	0.1064997183
892	0.1064673778
893	0.1064382602
894	0.1063826849
895	0.1063210128
896	0.1062950691
897	0.1062601743
898	0.1062381361
899	0.106195899
900	0.1061672302
901	0.1061287477
902	0.1060838131
903	0.1060485387
904	0.1060125191
905	0.1059768195
906	0.105929813
907	0.1059031502
908	0.1058702111
909	0.1058427997
910	0.1058107854
911	0.1057619376
912	0.1057213447
913	0.105676397
914	0.1056528942
915	0.105611176
916	0.105579677
917	0.1055502567
918	0.105531944
919	0.1055046838
920	0.1054763418
921	0.1054457477
922	0.1054055371
923	0.1053687495
924	0.1053304526
925	0.1052737325
926	0.1052320388
927	0.1051919279
928	0.105150574
929	0.1051194796
930	0.1050841144
931	0.1050439255
932	0.1050044048
933	0.1049694522
934	0.1049187685
935	0.1048853685
936	0.104857489
937	0.1048194813
938	0.1047949451
939	0.1047527612
940	0.1047038561
941	0.1046507038
942	0.1045995218
943	0.1045720453
944	0.1045254985
945	0.1044825712
946	0.1044534233
947	0.1044091889
948	0.1043650983
949	0.1043229066
950	0.1042964572
951	0.1042675718
952	0.1042305077
953	0.1041888252
954	0.1041545851
955	0.1041099477
956	0.104076486
957	0.1040378847
958	0.1040037161
959	0.1039586457
960	0.1039306154
961	0.1038798633
962	0.10382712
963	0.1037957746
964	0.1037588052
965	0.1037371147
966	0.1037007145
967	0.1036524098
968	0.1036137837
969	0.1035792234
970	0.1035515253
971	0.1035270438
972	0.1034891226
973	0.1034529399
974	0.1034177243
975	0.1033729985
976	0.1033421973
977	0.1033112021
978	0.103285762
979	0.1032521267
980	0.1032225702
981	0.1031917412
982	0.1031625743
983	0.1031183373
984	0.103079806
985	0.1030538956
986	0.1030175835
987	0.1029817747
988	0.1029537416
989	0.102882232
990	0.1028320254
991	0.1027937221
992	0.1027702292
993	0.1027451853
994	0.1026973376
995	0.1026596797
996	0.1026213326
997	0.1025786558
998	0.102547776
999	0.1025012538
